Date,Price,Date2,Open,High,Low,closed price,Vol.,Change %,absolute,Volatility,,daily volatility in %,,,,,,,,,,,,,,,,,,,
"Feb 04, 2020",16.05,"Feb 04, 2020",16.45,16.46,15.63,16.05,-,-10.68%,11%,0.83,,5.05%,,,,,,,,,,,,,,,,,,,
"Feb 03, 2020",17.97,"Feb 03, 2020",18.64,18.88,17.1,17.97,-,-4.62%,5%,1.78,,9.55%,,,,,,,,,,,,,,,,,,,
"Jan 31, 2020",18.84,"Jan 31, 2020",16.25,19.99,16.18,18.84,-,21.63%,22%,3.81,,23.45%,,,,,,,,,,,,,,,,,,,
"Jan 30, 2020",15.49,"Jan 30, 2020",17.82,18.39,15.3,15.49,-,-5.49%,5%,3.09,,17.34%,,,,,,,,,,,,,,,,,,,
"Jan 29, 2020",16.39,"Jan 29, 2020",15.68,16.65,14.94,16.39,-,0.68%,1%,1.71,,10.91%,,,,,,,,,,,,,,,,,,,
"Jan 28, 2020",16.28,"Jan 28, 2020",16.94,18.03,15.69,16.28,-,-10.70%,11%,2.34,,13.81%,,,,,,,,,,,,,,,,,,,
"Jan 27, 2020",18.23,"Jan 27, 2020",17.42,19.02,16.82,18.23,-,25.21%,25%,2.2,,12.63%,,,,,,,,,,,,,,,,,,,
"Jan 24, 2020",14.56,"Jan 24, 2020",12.75,15.98,12.62,14.56,-,12.17%,12%,3.36,,26.35%,,,,,,,,,,,,,,,,,,,
"Jan 23, 2020",12.98,"Jan 23, 2020",13.26,14.15,12.94,12.98,-,0.54%,1%,1.21,,9.13%,,,,,,,,,,,,,,,,,,,
"Jan 22, 2020",12.91,"Jan 22, 2020",12.45,13.01,12.31,12.91,-,0.47%,0%,0.7,,5.62%,,,,,,,,,,,,,,,,,,,
"Jan 21, 2020",12.85,"Jan 21, 2020",13.23,13.33,12.32,12.85,-,6.20%,6%,1.01,,7.63%,,,,,,,,,,,,,,,,,,,
"Jan 17, 2020",12.1,"Jan 17, 2020",12.21,12.48,11.75,12.1,-,-1.79%,2%,0.73,,5.98%,,,,,,,,,,,,,,,,,,,
"Jan 16, 2020",12.32,"Jan 16, 2020",12.2,12.42,11.78,12.32,-,-0.81%,1%,0.64,,5.25%,,,,,,,,,,,,,,,,,,,
"Jan 15, 2020",12.42,"Jan 15, 2020",12.79,12.83,11.95,12.42,-,0.24%,0%,0.88,,6.88%,,,,,,,,,,,,,,,,,,,
"Jan 14, 2020",12.39,"Jan 14, 2020",12.72,13.82,12.05,12.39,-,0.57%,1%,1.77,,13.92%,,,,,,,,,,,,,,,,,,,
"Jan 13, 2020",12.32,"Jan 13, 2020",12.84,13.09,12.32,12.32,-,-1.91%,2%,0.77,,6.00%,,,,,,,,,,,,,,,,,,,
"Jan 10, 2020",12.56,"Jan 10, 2020",12.42,12.87,12.09,12.56,-,0.16%,0%,0.78,,6.28%,,,,,,,,,,,,,,,,,,,
"Jan 09, 2020",12.54,"Jan 09, 2020",12.95,13.24,12.53,12.54,-,-6.77%,7%,0.71,,5.48%,,,,,,,,,,,,,,,,,,,
"Jan 08, 2020",13.45,"Jan 08, 2020",15.16,15.24,12.83,13.45,-,-2.47%,2%,2.41,,15.90%,,,,,,,,,,,,,,,,,,,
"Jan 07, 2020",13.79,"Jan 07, 2020",13.84,14.46,13.39,13.79,-,-0.43%,0%,1.07,,7.73%,,,,,,,,,,,,,,,,,,,
"Jan 06, 2020",13.85,"Jan 06, 2020",15.45,16.39,13.54,13.85,-,-1.21%,1%,2.85,,18.45%,,,,,,,,,,,,,,,,,,,
"Jan 03, 2020",14.02,"Jan 03, 2020",15.01,16.2,13.13,14.02,-,12.43%,12%,3.07,,20.45%,,,,,,,,,,,,,,,,,,,
"Jan 02, 2020",12.47,"Jan 02, 2020",13.46,13.72,12.42,12.47,-,-9.51%,10%,1.3,,9.66%,,,,,,,,,,,,,,,,,,,
"Dec 31, 2019",13.78,"Dec 31, 2019",14.84,15.39,13.75,13.78,-,-7.02%,7%,1.64,,11.05%,,,,,,,,,,,,,,,,,,,
"Dec 30, 2019",14.82,"Dec 30, 2019",13.74,15.14,13.44,14.82,-,10.35%,10%,1.7,,12.37%,,,,,,,,,,,,,,,,,,,
"Dec 27, 2019",13.43,"Dec 27, 2019",12.61,13.72,11.89,13.43,-,6.17%,6%,1.83,,14.51%,,,,,,,,,,,,,,,,,,,
"Dec 26, 2019",12.65,"Dec 26, 2019",12.74,12.75,11.72,12.65,-,-0.16%,0%,1.03,,8.08%,,,,,,,,,,,,,,,,,,,
"Dec 24, 2019",12.67,"Dec 24, 2019",12.65,12.84,12.56,12.67,-,0.48%,0%,0.28,,2.21%,,,,,,,,,,,,,,,,,,,
"Dec 23, 2019",12.61,"Dec 23, 2019",12.81,12.9,12.41,12.61,-,0.80%,1%,0.49,,3.83%,,,,,,,,,,,,,,,,,,,
"Dec 20, 2019",12.51,"Dec 20, 2019",12.55,12.61,12.04,12.51,-,0.08%,0%,0.57,,4.54%,,,,,,,,,,,,,,,,,,,
"Dec 19, 2019",12.5,"Dec 19, 2019",12.55,12.78,12.43,12.5,-,-0.64%,1%,0.35,,2.79%,,,,,,,,,,,,,,,,,,,
"Dec 18, 2019",12.58,"Dec 18, 2019",12.24,12.7,11.93,12.58,-,2.36%,2%,0.77,,6.29%,,,,,,,,,,,,,,,,,,,
"Dec 17, 2019",12.29,"Dec 17, 2019",12.23,12.47,11.9,12.29,-,1.24%,1%,0.57,,4.66%,,,,,,,,,,,,,,,,,,,
"Dec 16, 2019",12.14,"Dec 16, 2019",12.47,12.53,11.71,12.14,-,-3.88%,4%,0.82,,6.58%,,,,,,,,,,,,,,,,,,,
"Dec 13, 2019",12.63,"Dec 13, 2019",13.18,14.35,12.54,12.63,-,-9.40%,9%,1.81,,13.73%,,,,,,,,,,,,,,,,,,,
"Dec 12, 2019",13.94,"Dec 12, 2019",14.94,15.55,13.6,13.94,-,-7.00%,7%,1.95,,13.05%,,,,,,,,,,,,,,,,,,,
"Dec 11, 2019",14.99,"Dec 11, 2019",15.57,15.97,14.98,14.99,-,-4.40%,4%,0.99,,6.36%,,,,,,,,,,,,,,,,,,,
"Dec 10, 2019",15.68,"Dec 10, 2019",15.8,16.9,14.93,15.68,-,-1.13%,1%,1.97,,12.47%,,,,,,,,,,,,,,,,,,,
"Dec 09, 2019",15.86,"Dec 09, 2019",14.25,16.07,12.25,15.86,-,16.45%,16%,3.82,,26.81%,,,,,,,,,,,,,,,,,,,
"Dec 06, 2019",13.62,"Dec 06, 2019",14.37,14.47,13.19,13.62,-,-6.20%,6%,1.28,,8.91%,,,,,,,,,,,,,,,,,,,
"Dec 05, 2019",14.52,"Dec 05, 2019",14.46,15.37,14.17,14.52,-,-1.89%,2%,1.2,,8.30%,,,,,,,,,,,,,,,,,,,
"Dec 04, 2019",14.8,"Dec 04, 2019",16.38,16.4,14.12,14.8,-,-7.27%,7%,2.28,,13.92%,,,,,,,,,,,,,,,,,,,
"Dec 03, 2019",15.96,"Dec 03, 2019",14.68,17.99,14.61,15.96,-,7.04%,7%,3.38,,23.02%,,,,,,,,,,,,,,,,,,,
"Dec 02, 2019",14.91,"Dec 02, 2019",12.69,15.27,12.55,14.91,-,18.15%,18%,2.72,,21.43%,,,,,,,,,,,,,,,,,,,
"Nov 29, 2019",12.62,"Nov 29, 2019",12.5,12.83,12.12,12.62,-,7.40%,7%,0.71,,5.68%,,,,,,,,,,,,,,,,,,,
"Nov 27, 2019",11.75,"Nov 27, 2019",11.55,11.79,11.44,11.75,-,1.82%,2%,0.35,,3.03%,,,,,,,,,,,,,,,,,,,
"Nov 26, 2019",11.54,"Nov 26, 2019",11.88,12.04,11.42,11.54,-,-2.78%,3%,0.62,,5.22%,,,,,,,,,,,,,,,,,,,
"Nov 25, 2019",11.87,"Nov 25, 2019",12.51,12.59,11.73,11.87,-,-3.81%,4%,0.86,,6.87%,,,,,,,,,,,,,,,,,,,
"Nov 22, 2019",12.34,"Nov 22, 2019",12.82,13.25,12.33,12.34,-,-6.02%,6%,0.92,,7.18%,,,,,,,,,,,,,,,,,,,
"Nov 21, 2019",13.13,"Nov 21, 2019",13.35,13.86,12.49,13.13,-,2.74%,3%,1.37,,10.26%,,,,,,,,,,,,,,,,,,,
"Nov 20, 2019",12.78,"Nov 20, 2019",13.42,14.17,12.61,12.78,-,-0.62%,1%,1.56,,11.62%,,,,,,,,,,,,,,,,,,,
"Nov 19, 2019",12.86,"Nov 19, 2019",12.33,13.01,12.16,12.86,-,3.21%,3%,0.85,,6.89%,,,,,,,,,,,,,,,,,,,
"Nov 18, 2019",12.46,"Nov 18, 2019",12.39,13.1,12.32,12.46,-,3.40%,3%,0.78,,6.30%,,,,,,,,,,,,,,,,,,,
"Nov 15, 2019",12.05,"Nov 15, 2019",12.95,12.97,11.92,12.05,-,-7.66%,8%,1.05,,8.11%,,,,,,,,,,,,,,,,,,,
"Nov 14, 2019",13.05,"Nov 14, 2019",13.16,13.81,12.93,13.05,-,0.38%,0%,0.88,,6.69%,,,,,,,,,,,,,,,,,,,
"Nov 13, 2019",13,"Nov 13, 2019",12.91,13.9,12.88,13,-,2.52%,3%,1.02,,7.90%,,,,,,,,,,,,,,,,,,,
"Nov 12, 2019",12.68,"Nov 12, 2019",12.64,13.1,12.36,12.68,-,-0.08%,0%,0.74,,5.85%,,,,,,,,,,,,,,,,,,,
"Nov 11, 2019",12.69,"Nov 11, 2019",13.15,13.49,12.66,12.69,-,5.14%,5%,0.83,,6.31%,,,,,,,,,,,,,,,,,,,
